image,model,prompt_tokens,completion_tokens,total_tokens
2019713425-623.jpg,google/gemini-3.5-flash,4951,1283,6234
2019713429-846.jpg,google/gemini-3.5-flash,4978,1192,6170
2019713423-357.jpg,google/gemini-3.5-flash,4978,1520,6498
2019713425-391.jpg,google/gemini-3.5-flash,4971,1559,6530
2019713429-85.jpg,google/gemini-3.5-flash,4989,1686,6675
2019713430-1723.jpg,google/gemini-3.5-flash,4951,1722,6673
2019713421-5.jpg,google/gemini-3.5-flash,4963,1491,6454
2019713424-379.jpg,google/gemini-3.5-flash,4946,2052,6998
2019713431-394.jpg,google/gemini-3.5-flash,4963,788,5751
2019713432-1462.jpg,google/gemini-3.5-flash,4951,594,5545
2019713416-764.jpg,google/gemini-3.5-flash,4978,2616,7594
2019713428-610.jpg,google/gemini-3.5-flash,4951,2628,7579
2019713431-55.jpg,google/gemini-3.5-flash,4951,1473,6424
2019713414-133.jpg,google/gemini-3.5-flash,4960,4005,8965
2019713431-213.jpg,google/gemini-3.5-flash,4951,2089,7040
2019713436-721.jpg,google/gemini-3.5-flash,4951,1260,6211
2019713432-1588.jpg,google/gemini-3.5-flash,4978,1991,6969
2019713438-1107.jpg,google/gemini-3.5-flash,4963,1373,6336
2019713434-805.jpg,google/gemini-3.5-flash,4935,2247,7182
2019713418-213.jpg,google/gemini-3.5-flash,4958,1959,6917
2019713438-469.jpg,google/gemini-3.5-flash,4946,1213,6159
2019713436-1624.jpg,google/gemini-3.5-flash,4963,2454,7417
2019713437-100.jpg,google/gemini-3.5-flash,4978,1969,6947
2019713437-183.jpg,google/gemini-3.5-flash,4937,2355,7292
2019713437-719.jpg,google/gemini-3.5-flash,4946,2636,7582
2019713439-1945.jpg,google/gemini-3.5-flash,4937,1173,6110
2019713438-248.jpg,google/gemini-3.5-flash,4937,2325,7262
2019713442-2128.jpg,google/gemini-3.5-flash,4935,1113,6048
2019713439-1709.jpg,google/gemini-3.5-flash,4963,2528,7491
2019713442-2207.jpg,google/gemini-3.5-flash,4981,1415,6396
2019713442-145.jpg,google/gemini-3.5-flash,4951,1731,6682
2019713440-1687.jpg,google/gemini-3.5-flash,4963,2366,7329
2019713440-464.jpg,google/gemini-3.5-flash,4963,2413,7376
2019713441-1592.jpg,google/gemini-3.5-flash,4944,1106,6050
2019713439-1586.jpg,google/gemini-3.5-flash,4951,3928,8879
2019713442-1089.jpg,google/gemini-3.5-flash,4963,2751,7714
2019713442-42.jpg,google/gemini-3.5-flash,4937,2104,7041
2019713443-844.jpg,google/gemini-3.5-flash,4951,1262,6213
2019713445-1752.jpg,google/gemini-3.5-flash,4981,1008,5989
2019713443-998.jpg,google/gemini-3.5-flash,4946,1487,6433
2019713445-2433.jpg,google/gemini-3.5-flash,4937,1419,6356
2019713446-2471.jpg,google/gemini-3.5-flash,4973,1324,6297
2019713442-700.jpg,google/gemini-3.5-flash,4937,2497,7434
2019713445-1586.jpg,google/gemini-3.5-flash,4963,2562,7525
2019713447-2206.jpg,google/gemini-3.5-flash,4978,1775,6753
2019713442-448.jpg,google/gemini-3.5-flash,4951,3953,8904
2019713449-989.jpg,google/gemini-3.5-flash,4951,1510,6461
2019713450-2437.jpg,google/gemini-3.5-flash,4978,1582,6560
2019713451-1873.jpg,google/gemini-3.5-flash,4946,1785,6731
2019713452-1068.jpg,google/gemini-3.5-flash,4935,1419,6354
2019713452-2249.jpg,google/gemini-3.5-flash,4973,1426,6399
2019713442-229.jpg,google/gemini-3.5-flash,4956,6946,11902
2019713452-3120.jpg,google/gemini-3.5-flash,4951,969,5920
2019713454-108.jpg,google/gemini-3.5-flash,4978,943,5921
2019713452-1866.jpg,google/gemini-3.5-flash,4937,3169,8106
2019713446-615.jpg,google/gemini-3.5-flash,4963,2890,7853
2019713452-623.jpg,google/gemini-3.5-flash,4963,1630,6593
2019713453-3261.jpg,google/gemini-3.5-flash,4946,1598,6544
2019713446-2236.jpg,google/gemini-3.5-flash,4951,5193,10144
2019713453-1077.jpg,google/gemini-3.5-flash,4944,2292,7236
2019713445-2715.jpg,google/gemini-3.5-flash,4971,6202,11173
2019713451-2713.jpg,google/gemini-3.5-flash,4946,5937,10883
2019713453-1020.jpg,google/gemini-3.5-flash,4973,3427,8400
2019713454-3713.jpg,google/gemini-3.5-flash,4978,1523,6501
2019713456-226.jpg,google/gemini-3.5-flash,4963,842,5805
2019713451-2338.jpg,google/gemini-3.5-flash,4935,6814,11749
2019713456-1604.jpg,google/gemini-3.5-flash,4937,1905,6842
2019713455-1051.jpg,google/gemini-3.5-flash,4963,2514,7477
2019713454-3444.jpg,google/gemini-3.5-flash,4956,3183,8139
2019713454-3426.jpg,google/gemini-3.5-flash,4951,2500,7451
2019713456-4017.jpg,google/gemini-3.5-flash,4951,2423,7374
2019713456-237.jpg,google/gemini-3.5-flash,4973,2523,7496
2019713460-427.jpg,google/gemini-3.5-flash,4951,1110,6061
2019713458-331.jpg,google/gemini-3.5-flash,4973,2079,7052
2019713454-2885.jpg,google/gemini-3.5-flash,4973,6058,11031
2019713460-1280.jpg,google/gemini-3.5-flash,4951,1930,6881
2019713461-1376.jpg,google/gemini-3.5-flash,4978,1132,6110
2019713460-569.jpg,google/gemini-3.5-flash,4978,2743,7721
2019713461-676.jpg,google/gemini-3.5-flash,4978,1296,6274
2019713457-21.jpg,google/gemini-3.5-flash,4959,4294,9253
2019713460-73.jpg,google/gemini-3.5-flash,4981,2732,7713
2022658792-47.jpg,google/gemini-3.5-flash,4951,1945,6896
2022687381-858.jpg,google/gemini-3.5-flash,4951,1204,6155
2022687381-123.jpg,google/gemini-3.5-flash,4951,1891,6842
2022687381-320.jpg,google/gemini-3.5-flash,4963,1551,6514
2019713462-436.jpg,google/gemini-3.5-flash,4978,1687,6665
2019713456-2274.jpg,google/gemini-3.5-flash,4944,6540,11484
2019713454-2819.jpg,google/gemini-3.5-flash,4973,11062,16035
2022687381-308.jpg,google/gemini-3.5-flash,4946,4784,9730
mss1187900043-18.jpg,google/gemini-3.5-flash,4981,2461,7442
mss1187900039-112.jpg,google/gemini-3.5-flash,4944,3330,8274
mss1187900040-109.jpg,google/gemini-3.5-flash,4978,3258,8236
mss1187900041-49.jpg,google/gemini-3.5-flash,4951,2959,7910
mss1187900051-26.jpg,google/gemini-3.5-flash,4978,2328,7306
mss1187900041-38.jpg,google/gemini-3.5-flash,4978,3287,8265
mss1187900037-78.jpg,google/gemini-3.5-flash,4978,4557,9535
mss1187900046-4.jpg,google/gemini-3.5-flash,4951,3820,8771
mss1187900065-51.jpg,google/gemini-3.5-flash,4951,1239,6190
mss1187900053-61.jpg,google/gemini-3.5-flash,4963,2996,7959
mss1187900065-26.jpg,google/gemini-3.5-flash,4944,2120,7064
mss1187900065-27.jpg,google/gemini-3.5-flash,4937,2842,7779
mss1187900030-4.jpg,google/gemini-3.5-flash,4951,7427,12378
mss1187900032-2.jpg,google/gemini-3.5-flash,4937,8406,13343
mss1187900045-93.jpg,google/gemini-3.5-flash,4978,6311,11289
mss1187900066-39.jpg,google/gemini-3.5-flash,4963,2960,7923
mss1187900061-25.jpg,google/gemini-3.5-flash,4944,3154,8098
mss1187900080-73.jpg,google/gemini-3.5-flash,4981,1515,6496
mss1187900079-79.jpg,google/gemini-3.5-flash,4973,2166,7139
mss1187900067-48.jpg,google/gemini-3.5-flash,4937,3050,7987
mss1187900072-53.jpg,google/gemini-3.5-flash,4963,3716,8679
mss1187900072-30.jpg,google/gemini-3.5-flash,4978,3947,8925
mss1187900061-5.jpg,google/gemini-3.5-flash,4963,6118,11081
mss1187900080-39.jpg,google/gemini-3.5-flash,4951,3848,8799
mss1187900092-56.jpg,google/gemini-3.5-flash,4978,1052,6030
mss1187900062-14.jpg,google/gemini-3.5-flash,4944,8217,13161
mss1187900091-92.jpg,google/gemini-3.5-flash,4951,2372,7323
mss1187900092-28.jpg,google/gemini-3.5-flash,4978,1826,6804
mss1187900084-21.jpg,google/gemini-3.5-flash,4937,6744,11681
mss1187900092-33.jpg,google/gemini-3.5-flash,4978,3680,8658
mss1187900086-98.jpg,google/gemini-3.5-flash,4951,5154,10105
mss1187900087-47.jpg,google/gemini-3.5-flash,4978,4907,9885
mss1187900088-30.jpg,google/gemini-3.5-flash,4944,5698,10642
mss1187900105-38.jpg,google/gemini-3.5-flash,4963,768,5731
mss1187900096-56.jpg,google/gemini-3.5-flash,4978,3247,8225
mss1187900081-62.jpg,google/gemini-3.5-flash,4975,8151,13126
mss1187900105-21.jpg,google/gemini-3.5-flash,4981,1545,6526
mss1187900095-49.jpg,google/gemini-3.5-flash,4937,3382,8319
mss1187900107-43.jpg,google/gemini-3.5-flash,4944,1968,6912
mss1187900093-47.jpg,google/gemini-3.5-flash,4951,6935,11886
mss1187900103-5.jpg,google/gemini-3.5-flash,4951,5653,10604
mss1187900114-2.jpg,google/gemini-3.5-flash,4951,2799,7750
mss1187900100-3.jpg,google/gemini-3.5-flash,4951,6744,11695
mss1187900106-11.jpg,google/gemini-3.5-flash,4951,3421,8372
mss1187900114-42.jpg,google/gemini-3.5-flash,4973,1740,6713
mss1187900106-35.jpg,google/gemini-3.5-flash,4978,6170,11148
mss1187900108-33.jpg,google/gemini-3.5-flash,4951,5307,10258
mss1187900117-1.jpg,google/gemini-3.5-flash,4978,1535,6513
mss1187900113-45.jpg,google/gemini-3.5-flash,4951,7038,11989
mss1187900126-24.jpg,google/gemini-3.5-flash,4978,1818,6796
mss1187900084-23.jpg,google/gemini-3.5-flash,4944,15600,20544
mss1187900115-40.jpg,google/gemini-3.5-flash,4978,4234,9212
mss1187900133-26.jpg,google/gemini-3.5-flash,4937,2287,7224
mss1187900128-17.jpg,google/gemini-3.5-flash,4937,3020,7957
mss1187900106-61.jpg,google/gemini-3.5-flash,4973,11158,16131
mss1187900108-38.jpg,google/gemini-3.5-flash,4944,9469,14413
mss1187900114-40.jpg,google/gemini-3.5-flash,4937,6894,11831
mss1187900127-29.jpg,google/gemini-3.5-flash,4937,4195,9132
mss1187900139-16.jpg,google/gemini-3.5-flash,4963,1342,6305
mss1187900115-32.jpg,google/gemini-3.5-flash,4944,6135,11079
mss1187900140-75.jpg,google/gemini-3.5-flash,4978,2648,7626
mss1187900951-29.jpg,google/gemini-3.5-flash,4951,1997,6948
mss1187900967-20.jpg,google/gemini-3.5-flash,4963,1954,6917
mss1187900134-57.jpg,google/gemini-3.5-flash,4973,4327,9300
mss1187900968-79.jpg,google/gemini-3.5-flash,4944,1974,6918
mss1187900154-26.jpg,google/gemini-3.5-flash,4973,4223,9196
mss1187900971-5.jpg,google/gemini-3.5-flash,4951,2566,7517
mss1187900122-19.jpg,google/gemini-3.5-flash,4951,9097,14048
mss1187900138-1.jpg,google/gemini-3.5-flash,4937,6118,11055
mss1288000061-32.jpg,google/gemini-3.5-flash,4951,3161,8112
mss1288000207-5.jpg,google/gemini-3.5-flash,4989,2284,7273
mss1288000539-4.jpg,google/gemini-3.5-flash,4951,3121,8072
mss1187900156-48.jpg,google/gemini-3.5-flash,4973,6442,11415
mss1288000006-314.jpg,google/gemini-3.5-flash,4973,4540,9513
mss1187901000-6.jpg,google/gemini-3.5-flash,4973,6549,11522
mss1288000676-23.jpg,google/gemini-3.5-flash,4935,4288,9223
mss1187900967-7.jpg,google/gemini-3.5-flash,4937,8151,13088
mss1288000772-26.jpg,google/gemini-3.5-flash,4946,3441,8387
mss1288000795-64.jpg,google/gemini-3.5-flash,4954,2448,7402
mss1187900951-57.jpg,google/gemini-3.5-flash,4951,10345,15296
mss1288000078-3.jpg,google/gemini-3.5-flash,4981,7680,12661
mss1288001315-10.jpg,google/gemini-3.5-flash,4951,2205,7156
mss1288000687-24.jpg,google/gemini-3.5-flash,4944,6419,11363
mss1288000771-6.jpg,google/gemini-3.5-flash,4963,6651,11614
mss1288001061-3.jpg,google/gemini-3.5-flash,4944,5085,10029
mss154040022-33.jpg,google/gemini-3.5-flash,4951,1475,6426
mss154040052-41.jpg,google/gemini-3.5-flash,4951,1393,6344
mss154040052-6.jpg,google/gemini-3.5-flash,4973,955,5928
mss1288000636-15.jpg,google/gemini-3.5-flash,4946,13187,18133
mss154040013-16.jpg,google/gemini-3.5-flash,4963,4142,9105
mss1288002083-30.jpg,google/gemini-3.5-flash,4951,5721,10672
mss1288001758-6.jpg,google/gemini-3.5-flash,4978,5972,10950
mss1288002029-4.jpg,google/gemini-3.5-flash,4944,7025,11969
mss154040008-47.jpg,google/gemini-3.5-flash,4937,6572,11509
