JOHNSON'S NEW UNIVERSAL CYCLOPAEDIA VOL. III

[Page header, with possible continuation from prior entry; text appears dense and columnar]

...of the motion of the air or the
part of the east side of the
the according to that of the
the according to that of the
and the body of the
upon the body of the
to the body of the
the body of the
of the body of the
the body of the
the body of the
the
is the body of the
the
of the body of the
the body of the
the
the body of the
the
the
the

ishing the Protestant Episcopal Church of St. Louis, with the General Convention of the Protestant Episcopal Church in the United States, in 1837, where he
was a prominent member. In 1844 he was elected bishop of Indiana, and consecrated the same year. He resigned in 1861, and was succeeded by the Rev. Dr. J. D. White. Bishop Kemper died in 1870.

The Protestant Episcopal Church in the United States is divided into dioceses and missionary jurisdictions, each under a bishop. The general convention meets triennially. The following are the jurisdictions of the Prot. Episcopal Church in the U.S., with the name of the diocese or missionary jurisdiction, the see city, and the name of the bishop in 1903:

Alabama, Birmingham, Ala., the Rt. Rev. H. M. Jackson, D.D.

Albany, Albany, N.Y., the Rt. Rev. W. T. Manning, D.D.

Annapolis, Annapolis, Md., the Rt. Rev. J. G. Murray, D.D.

Arkansas, Little Rock, Ark., the Rt. Rev. W. M. Brown, D.D.

Asheville, Asheville, N.C., the Rt. Rev. J. B. Cheshire, D.D.

Atlanta, Atlanta, Ga., the Rt. Rev. C. K. Benjamin, D.D.

Bethlehem, Bethlehem, Pa., the Rt. Rev. E. T. H. Creighton, D.D.

Boston, Boston, Mass., the Rt. Rev. W. L. Lawrence, D.D.

Buffalo, Buffalo, N.Y., the Rt. Rev. C. W. Spalding, D.D.

California, San Francisco, Cal., the Rt. Rev. W. F. Nichols, D.D.

Central New York, Syracuse, N.Y., the Rt. Rev. C. B. Fair, D.D.

Central Pennsylvania, Harrisburg, Pa., the Rt. Rev. J. H. Darlington, D.D.

Chicago, Chicago, Ill., the Rt. Rev. G. F. T. Perry, D.D.

Colorado, Denver, Colo., the Rt. Rev. O. W. Whitaker, D.D.

Connecticut, Hartford, Conn., the Rt. Rev. C. S. Hutchins, D.D.

Dallas, Dallas, Tex., the Rt. Rev. G. H. Kinsolving, D.D.

Delaware, Wilmington, Del., the Rt. Rev. L. L. Norris, D.D.

Dubuque, Dubuque, Iowa, the Rt. Rev. T. M. Bassett, D.D.

East Carolina, Wilmington, N.C., the Rt. Rev. T. F. Heed, D.D.

Easton, Easton, Md., the Rt. Rev. G. W. Pilling, D.D.

Florida, Jacksonville, Fla., the Rt. Rev. D. S. Tuttle, D.D.

Fond du Lac, Fond du Lac, Wis., the Rt. Rev. R. E. Rogers, D.D.

Georgia, Savannah, Ga., the Rt. Rev. C. B. Wilkinson, D.D.

Hawaii, Honolulu, H.I., the Rt. Rev. H. B. Restarick, D.D.

Idaho, Boise, Ida., the Rt. Rev. J. B. Funsten, D.D.

Indiana, Indianapolis, Ind., the Rt. Rev. N. S. Thomas, D.D.

Iowa, Davenport, Iowa, the Rt. Rev. T. H. Vaché, D.D.

Kansas, Topeka, Kan., the Rt. Rev. T. H. Vaché, no [fragmented; appears to repeat or error in visibility]

Kentucky, Louisville, Ky., the Rt. Rev. T. U. Dudley, D.D.

Lexington, Lexington, Ky., the Rt. Rev. L. W. Burton, D.D.

Long Island, Brooklyn, N.Y., the Rt. Rev. C. H. Olmsted, D.D.

Louisiana, New Orleans, La., the Rt. Rev. D. Sessums, D.D.

Maine, Portland, Me., the Rt. Rev. H. D. Robinson, D.D.

Maryland, Baltimore, Md., the Rt. Rev. J. G. Murray, D.D. [listed twice in fragments, possibly error]

Massachusetts, Boston, Mass., the Rt. Rev. W. L. Lawrence, D.D.

Michigan, Detroit, Mich., the Rt. Rev. G. D. Gillespie, D.D.

Milwaukee, Milwaukee, Wis., the Rt. Rev. B. W. Warren, D.D.

Minnesota, St. Paul, Minn., the Rt. Rev. S. A. Lattimore, D.D.

Mississippi, Jackson, Miss., the Rt. Rev. T. DuB. Bratton, D.D.

Missouri, St. Louis, Mo., the Rt. Rev. D. S. Tuttle, D.D.

Montana, Helena, Mont., the Rt. Rev. L. Rogers, D.D.

Nebraska, Omaha, Neb., the Rt. Rev. A. L. Williams, D.D.

Newark, Newark, N.J., the Rt. Rev. C. B. Bishop, D.D.

