Managers.

Allen Durborow Jr. M.              Frederick L. Ampt.
Abbott Adams                       Joseph J. Layton
Captain James Allen S.A.           Milton G. Blanton Jr.
Asher Q. Belote U.S.               Edward A. Mason U.S.A.
Edward B. Trigg                    Cyrus M. McCormick
Collin Carrington                  Frank N. Odell
John Crenshaw S.A.                 R.W. Patterson Jr.
Edwin C. Dye                       Arthur Hyers Jr.
F. Clark Wellingham                W.T. Spafford U.S.N.
Carter H. Haner                    R.B. Carter
Loch W. Johnson                    Franklin Walters U.S.N.
C. Edwin Kimball                   Berton Winston
Benjamin F. Lamb M.D.              W. Sawyer
